=== Foreign Buy Top (KOSPI) ===
SK하이닉스 (000660) | Price: 443 | Amount: 455,035
산일전기 (062040) | Price: 241 | Amount: 40,816
한화에어로스페이스 (012450) | Price: 26 | Amount: 39,585
SK스퀘어 (402340) | Price: 44 | Amount: 25,019
효성중공업 (298040) | Price: 8 | Amount: 24,316
이수페타시스 (007660) | Price: 172 | Amount: 20,546
HD현대일렉트릭 (267260) | Price: 19 | Amount: 18,737
삼성물산 (028260) | Price: 63 | Amount: 18,529
셀트리온 (068270) | Price: 94 | Amount: 18,458
에이피알 (278470) | Price: 41 | Amount: 16,628
=== Foreign Buy Top (KOSDAQ) ===
삼천당제약 (000250) | Price: 47 | Amount: 24,200
실리콘투 (257720) | Price: 482 | Amount: 21,926
쎄트렉아이 (099320) | Price: 94 | Amount: 15,449
서진시스템 (178320) | Price: 228 | Amount: 10,745
리노공업 (058470) | Price: 92 | Amount: 10,360
GST (083450) | Price: 244 | Amount: 8,641
티엘비 (356860) | Price: 101 | Amount: 7,294
두산테스나 (131970) | Price: 76 | Amount: 6,663
알지노믹스 (476830) | Price: 30 | Amount: 6,056
피에스케이 (319660) | Price: 74 | Amount: 6,046

=== Institution Buy Top (KOSPI) ===
KODEX AI전력핵심설비 (487240) | Price: 902 | Amount: 31,551
KODEX 코스닥150레버리지 (233740) | Price: 2,151 | Amount: 31,236
삼양식품 (003230) | Price: 20 | Amount: 26,510
SK텔레콤 (017670) | Price: 237 | Amount: 22,146
산일전기 (062040) | Price: 130 | Amount: 22,071
S-Oil (010950) | Price: 168 | Amount: 20,479
한국금융지주 (071050) | Price: 81 | Amount: 19,926
SK하이닉스 (000660) | Price: 18 | Amount: 19,506
달바글로벌 (483650) | Price: 93 | Amount: 17,572
현대건설 (000720) | Price: 86 | Amount: 17,415

=== Volume Quant Top (KOSPI) ===
KODEX 200선물인버스2X (252670) | Price: 210 | Volume: 2,831,589,380
KODEX 인버스 (114800) | Price: 1,499 | Volume: 256,682,677
남선알미늄 (008350) | Price: 3,080 | Volume: 146,728,396
조일알미늄 (018470) | Price: 1,951 | Volume: 80,699,610
대영포장 (014160) | Price: 1,336 | Volume: 48,403,917
KODEX 2차전지산업레버리지 (462330) | Price: 1,844 | Volume: 40,827,673
TIGER 200선물인버스2X (252710) | Price: 222 | Volume: 38,996,403
대한해운 (005880) | Price: 2,650 | Volume: 37,605,550
신성이엔지 (011930) | Price: 3,740 | Volume: 36,941,797
삼성 인버스 2X WTI원유 선물 ETN (530036) | Price: 22 | Volume: 34,022,471
