=== Foreign Buy Top (KOSPI) ===
삼성전자 (005930) | Price: 1,689 | Amount: 370,624
두산에너빌리티 (034020) | Price: 2,861 | Amount: 315,835
삼성전자우 (005935) | Price: 871 | Amount: 128,101
한화오션 (042660) | Price: 610 | Amount: 79,571
현대차 (005380) | Price: 102 | Amount: 55,079
삼성SDI (006400) | Price: 106 | Amount: 50,627
SKC (011790) | Price: 346 | Amount: 39,549
SK이노베이션 (096770) | Price: 260 | Amount: 32,659
KODEX 레버리지 (122630) | Price: 306 | Amount: 30,870
대한전선 (001440) | Price: 689 | Amount: 28,765
=== Foreign Buy Top (KOSDAQ) ===
리노공업 (058470) | Price: 215 | Amount: 24,427
로보티즈 (108490) | Price: 44 | Amount: 12,193
HPSP (403870) | Price: 279 | Amount: 12,117
코미코 (183300) | Price: 79 | Amount: 11,264
대한광통신 (010170) | Price: 683 | Amount: 10,840
하나마이크론 (067310) | Price: 298 | Amount: 10,196
RFHIC (218410) | Price: 104 | Amount: 9,704
제주반도체 (080220) | Price: 187 | Amount: 8,047
에코프로비엠 (247540) | Price: 38 | Amount: 7,737
이오테크닉스 (039030) | Price: 16 | Amount: 7,654

=== Institution Buy Top (KOSPI) ===
삼성전자 (005930) | Price: 1,433 | Amount: 306,014
SK하이닉스 (000660) | Price: 129 | Amount: 147,403
KODEX 레버리지 (122630) | Price: 936 | Amount: 95,499
현대차 (005380) | Price: 155 | Amount: 83,476
두산에너빌리티 (034020) | Price: 583 | Amount: 64,436
한화오션 (042660) | Price: 474 | Amount: 61,773
TIGER 반도체TOP10레버리지 (488080) | Price: 1,154 | Amount: 54,590
KODEX 200타겟위클리커버드콜 (498400) | Price: 1,992 | Amount: 37,993
기아 (000270) | Price: 238 | Amount: 37,461
HD현대중공업 (329180) | Price: 72 | Amount: 35,616

=== Volume Quant Top (KOSPI) ===
KODEX 200선물인버스2X (252670) | Price: 193 | Volume: 2,111,613,739
KODEX 인버스 (114800) | Price: 1,439 | Volume: 165,868,046
KODEX 2차전지산업레버리지 (462330) | Price: 2,075 | Volume: 59,923,663
광전자 (017900) | Price: 13,810 | Volume: 59,545,916
무림P&P (009580) | Price: 3,630 | Volume: 33,846,563
후성 (093370) | Price: 13,820 | Volume: 31,327,210
삼성 인버스 2X WTI원유 선물 ETN (530036) | Price: 24 | Volume: 29,665,835
대우건설 (047040) | Price: 28,700 | Volume: 28,483,990
퍼스텍 (010820) | Price: 13,480 | Volume: 26,601,757
한온시스템 (018880) | Price: 4,160 | Volume: 25,869,417
